T,p,N,Lamb,Epsilon0,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
1,65,200,0.0455293507486695,0.1,0.577405857740586,0.243816254416961,0.342857142857143,0.696969696969697,0.281776416539051,0.401308615049073,0.621527777777778,0.280564263322884,0.386609071274298,0.63196777749602,0.268718978092965,0.376924943060171,1041141.06538306,0.509999999999998,7898
1,65,200,0.0415040475785047,0.1,0.619246861924686,0.252559726962457,0.358787878787879,0.712121212121212,0.280597014925373,0.402569593147752,0.631944444444444,0.277862595419847,0.386002120890774,0.654437506163448,0.270339779102559,0.382453197608801,1078389.06956427,0.536999999999999,8170
1,65,200,0.0378346261713193,0.1,0.640167364016736,0.252892561983471,0.362559241706161,0.742424242424242,0.284883720930233,0.411764705882353,0.65625,0.28166915052161,0.394160583941606,0.67961386881366,0.273148477811771,0.389494843843373,1113787.95262194,0.484000000000002,8438
1,65,200,0.0344896226040576,0.1,0.652719665271967,0.248012718600954,0.359447004608295,0.75,0.27887323943662,0.406570841889117,0.680555555555556,0.283646888567294,0.400408580183861,0.694425073609174,0.270177615534956,0.388808808893758,1145224.30152075,0.498999999999995,8680
1,65,200,0.031440354715915,0.1,0.665271966527197,0.245749613601236,0.358916478555305,0.765151515151515,0.276333789329685,0.406030150753769,0.711805555555556,0.290780141843972,0.412890231621349,0.714076345744756,0.270954514924964,0.392612286976808,1173754.80422726,0.497999999999998,8904
1,65,200,0.0286606761694825,0.1,0.686192468619247,0.246246246246246,0.362430939226519,0.791666666666667,0.276455026455026,0.409803921568627,0.729166666666667,0.292887029288703,0.417910447761194,0.735675267317527,0.271862767329992,0.396715102852114,1204927.11198602,0.497999999999998,9136
1,65,200,0.0261267522556333,0.1,0.698744769874477,0.242732558139535,0.360302049622438,0.799242424242424,0.27653997378768,0.410905550146056,0.736111111111111,0.290013679890561,0.416094210009814,0.744699435076004,0.269762070605925,0.395767269926103,1232136.8557046,0.506,9340
1,65,200,0.0238168555197616,0.1,0.728033472803347,0.244039270687237,0.365546218487395,0.810606060606061,0.276485788113695,0.41233140655106,0.756944444444444,0.289893617021277,0.419230769230769,0.765194659284617,0.270139558607403,0.399036131423075,1260931.68611231,0.501000000000005,9560
1,65,200,0.0217111794569451,0.1,0.736401673640167,0.243093922651934,0.36552440290758,0.818181818181818,0.27515923566879,0.411820781696854,0.760416666666667,0.287779237844941,0.417540514775977,0.771666719496217,0.268677465388555,0.398295233126804,1284178.89053334,0.505000000000003,9734
1,65,200,0.0197916686785356,0.1,0.761506276150628,0.244295302013423,0.369918699186992,0.829545454545455,0.275125628140704,0.413207547169811,0.763888888888889,0.286458333333333,0.416666666666667,0.784980206528324,0.268626421162487,0.399930971007823,1304256.03369999,0.505000000000003,9882
1,65,200,0.0180418640939207,0.1,0.774058577405858,0.243741765480896,0.370741482965932,0.859848484848485,0.280246913580247,0.422718808193668,0.770833333333333,0.284980744544288,0.416119962511715,0.801580131862559,0.269656474535143,0.403193417890438,1326710.77179054,0.506999999999998,10052
1,65,200,0.0164467617799466,0.1,0.794979079497908,0.246113989637306,0.375865479723046,0.878787878787879,0.281553398058252,0.426470588235294,0.795138888888889,0.289506953223767,0.424467099165894,0.822968615724892,0.272391446973109,0.408934389041412,1347052.13672953,0.533000000000001,10212
1,65,200,0.0149926843278604,0.1,0.807531380753138,0.246803069053708,0.378060724779628,0.882575757575758,0.280722891566265,0.425959780621572,0.809027777777778,0.290523690773067,0.427522935779816,0.833044972035558,0.272683217131014,0.410514480393672,1364487.60169757,0.484000000000002,10336
1,65,200,0.0136671635646201,0.1,0.815899581589958,0.247148288973384,0.379377431906615,0.882575757575758,0.276393831553974,0.420957542908762,0.822916666666667,0.291154791154791,0.430127041742287,0.840464001944127,0.271565637227383,0.410154005519221,1384036.47574838,0.501000000000005,10486
1,65,200,0.0124588336429501,0.1,0.815899581589958,0.244055068836045,0.375722543352601,0.886363636363636,0.275618374558304,0.420485175202156,0.829861111111111,0.289346246973366,0.429084380610413,0.844041443021569,0.269673230122572,0.408430699721723,1396452.65304602,0.498000000000005,10586
1,65,200,0.0113573335834311,0.1,0.815899581589958,0.242236024844721,0.373563218390805,0.890151515151515,0.275498241500586,0.420769919427037,0.84375,0.292067307692308,0.433928571428571,0.849933698913824,0.269933858012538,0.409420569748804,1411246.40923409,0.503,10694
1,65,200,0.0103532184329566,0.1,0.824267782426778,0.241421568627451,0.37345971563981,0.897727272727273,0.273672055427252,0.419469026548673,0.847222222222222,0.291169451073986,0.433392539964476,0.856405759125424,0.268754358376229,0.408773760717653,1428153.56793667,0.5,10826
1,65,200,0.00943787827777537,0.1,0.832635983263598,0.242682926829268,0.375826251180359,0.90530303030303,0.274082568807339,0.420774647887324,0.857638888888889,0.291962174940898,0.435626102292769,0.865192634151839,0.269575890192502,0.410742333786817,1443211.51135746,0.503999999999991,10938
1,65,200,0.00860346441668451,0.1,0.832635983263598,0.241212121212121,0.37406015037594,0.90530303030303,0.271282633371169,0.417467248908297,0.875,0.295427901524033,0.441717791411043,0.870979671188876,0.269307552035774,0.41108173023176,1454306.84333597,0.507999999999996,11016
1,65,200,0.00784282206133768,0.1,0.841004184100418,0.241296518607443,0.375,0.90530303030303,0.269447576099211,0.415291051259774,0.885416666666667,0.297202797202797,0.445026178010471,0.877241293690038,0.269315630636484,0.411772409756748,1466723.05039805,0.50200000000001,11118
1,65,200,0.00714942898659758,0.1,0.845188284518828,0.241626794258373,0.375813953488372,0.912878787878788,0.269876819708847,0.416594641313742,0.888888888888889,0.296983758700696,0.445217391304348,0.882318653762168,0.269495790889305,0.412541995368821,1477818.3877163,0.524000000000001,11198
