T,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
10,200,2000,0.0318062569279412,0.001,0.0205177637014597,0.250841750841751,0.0379327902240326,-3025432.92511238,169.245,594
10,200,2000,0.0289942285388288,0.001,0.0327733406774993,0.251851851851852,0.0579992689167784,-2138028.05252893,174.677,945
10,200,2000,0.0264308148697411,0.001,0.044615808317268,0.247328244274809,0.0755949603359776,-1111096.92035866,174.596,1310
10,200,2000,0.0240940356023952,0.001,0.056595979069127,0.232597623089983,0.0910399822793222,106235.393119234,171.325,1767
10,200,2000,0.0219638537241655,0.001,0.067336821812173,0.213817227809357,0.102419101476594,1473681.25759822,168.453,2287
10,200,2000,0.0200220037181558,0.001,0.0797301019003029,0.200554208520956,0.114099911321312,3040662.66549024,165.365,2887
10,200,2000,0.0182518349431904,0.001,0.0904709446433489,0.187072892938497,0.121960274735474,4710335.60890593,158.849,3512
10,200,2000,0.0166381688607613,0.001,0.100798678050124,0.173008744977547,0.127381884625424,6481198.82417418,150.133,4231
10,200,2000,0.0151671688847092,0.001,0.114293583034977,0.165075576770088,0.13506916192026,8396833.59691715,138.465,5028
10,200,2000,0.0138262217376466,0.001,0.126824566235197,0.158437983829348,0.140879541108987,10381301.197632,123.28,5813
10,200,2000,0.0126038292967973,0.001,0.138253924538695,0.153072114651624,0.14528615874394,12268262.541799,112.422,6559
10,200,2000,0.0114895100018731,0.001,0.149958689066373,0.148163265306122,0.149055570763756,14261231.9997372,109.934,7350
10,200,2000,0.0104737089795945,0.001,0.162489672266593,0.145248645987198,0.153386195242428,16288274.5972741,107.368,8124
